"aha_id","year","Find","Send","Receive","Integrate","ClinInteropFx","Available","Used","DataUse","HospitalSend","HospitalReceive","AmbSend","AmbReceive","LTPACSend","LTPACReceive","BHSend","BHReceive","breadth_of_exchange","Barrier_Send","Barrier_Receive","Barrier_Other","Barriers","MFind","MSend","MReceive","Methods","IB_Extent_EHR","IB_Extent_HIE","IB_Extent_Prov","InfoBlocking","Core","Friction","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6110090",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.666666666666667,0.714285714285714,1,0.793650793650794,0,0,0,0,100,43.1216931216931,0,0,1,1,"Rural","Cerner",NA,2.7797508
"6110200",2025,1,1,0.5,0.5,0.75,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.375,0.5,0.333333333333333,0.6,0.477777777777778,0.5,0.285714285714286,0,0.261904761904762,0,0,0,0,70.8333333333333,24.6560846560847,0,0,1,0,"Rural","CPSI/Evident",1,1.9653661
"6110290",2025,1,1,1,1,1,0.5,0,0.25,1,1,1,1,0,0,0.5,0.5,0.625,0.5,1,0.5,0.666666666666667,0.333333333333333,0.285714285714286,0.285714285714286,0.301587301587302,0,0,1,0.333333333333333,62.5,43.3862433862434,0,0,1,1,"Rural","Cerner",NA,2.7797508
"6110330",2025,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0,0,0.625,0.333333333333333,0.166666666666667,0.2,0.233333333333333,0.833333333333333,0.571428571428571,0.714285714285714,0.706349206349206,0,0,0,0,87.5,31.3227513227513,0,0,1,1,"Rural","Meditech",NA,2.7797508
"6110380",2025,0.5,0.5,0.5,0,0.375,1,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1,0,0,0.333333333333333,54.1666666666667,27.7777777777778,0,1,0,0,"Metro","Epic",1,1.6728343
"6110387",2025,1,1,1,0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.1,0.144444444444444,0.166666666666667,0.142857142857143,0.142857142857143,0.150793650793651,0,0,0,0,58.3333333333333,9.84126984126984,0,0,1,1,"Metro","Meditech",NA,2.825819
"6120001",2025,1,1,1,0.5,0.875,1,1,1,1,1,1,0.5,0,0.5,0.5,0.5,0.625,0.5,0.666666666666667,0.6,0.588888888888889,0.333333333333333,0.571428571428571,0.571428571428571,0.492063492063492,0,0,0,0,83.3333333333333,36.031746031746,0,1,0,0,"Metro","Meditech",1,1.9058088
"6120010",2025,1,1,1,1,1,1,0.5,0.75,1,1,1,1,1,0.5,1,0.5,0.875,0.5,0.666666666666667,0.5,0.555555555555555,0.666666666666667,0.571428571428571,0.714285714285714,0.650793650793651,0,1,1,0.666666666666667,87.5,62.4338624338624,0,0,1,1,"Rural","Meditech",1,1.6194139
"6120029",2025,1,1,1,1,1,1,0.5,0.75,1,1,1,1,1,0.5,1,0.5,0.875,0.5,0.666666666666667,0.5,0.555555555555555,0.666666666666667,0.571428571428571,0.714285714285714,0.650793650793651,0,1,1,0.666666666666667,87.5,62.4338624338624,0,0,1,1,"Rural","Meditech",1,1.9884837
"6120030",2025,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.833333333333333,0.666666666666667,0.7,0.733333333333333,0.333333333333333,0.285714285714286,0.142857142857143,0.253968253968254,0,0,0,0,66.6666666666667,32.9100529100529,0,1,0,0,"Micro","Cerner",NA,1.861112
"6120080",2025,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,0.8125,0.333333333333333,0.5,0.5,0.444444444444444,1,0.714285714285714,0.428571428571429,0.714285714285714,0,0,0,0,93.75,38.6243386243386,0,1,0,0,"Metro","Epic",1,1.7829912
"6120090",2025,1,1,1,0.5,0.875,1,1,1,1,1,1,0.5,0,0.5,0.5,0.5,0.625,0.5,0.666666666666667,0.6,0.588888888888889,0.333333333333333,0.571428571428571,0.571428571428571,0.492063492063492,0,0,0,0,83.3333333333333,36.031746031746,0,0,1,0,"Metro","Meditech",1,2.3652003
