"aha_id","year","Core","ClinInteropFx","DataUse","breadth_of_exchange","Friction","Barriers","Methods","InfoBlocking","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6110090",2025,100,1,1,1,43.1216931216931,0.5,0.793650793650794,0,0,0,1,1,"Rural","Cerner",NA,2.7797508
"6110200",2025,70.8333333333333,0.75,1,0.375,24.6560846560847,0.477777777777778,0.261904761904762,0,0,0,1,0,"Rural","CPSI/Evident",1,1.9653661
"6110290",2025,62.5,1,0.25,0.625,43.3862433862434,0.666666666666667,0.301587301587302,0.333333333333333,0,0,1,1,"Rural","Cerner",NA,2.7797508
"6110330",2025,87.5,1,1,0.625,31.3227513227513,0.233333333333333,0.706349206349206,0,0,0,1,1,"Rural","Meditech",NA,2.7797508
"6110380",2025,54.1666666666667,0.375,0.75,0.5,27.7777777777778,0.5,0,0.333333333333333,0,1,0,0,"Metro","Epic",1,1.6728343
"6110387",2025,58.3333333333333,0.75,1,0,9.84126984126984,0.144444444444444,0.150793650793651,0,0,0,1,1,"Metro","Meditech",NA,2.825819
"6120001",2025,83.3333333333333,0.875,1,0.625,36.031746031746,0.588888888888889,0.492063492063492,0,0,1,0,0,"Metro","Meditech",1,1.9058088
"6120010",2025,87.5,1,0.75,0.875,62.4338624338624,0.555555555555555,0.650793650793651,0.666666666666667,0,0,1,1,"Rural","Meditech",1,1.6194139
"6120029",2025,87.5,1,0.75,0.875,62.4338624338624,0.555555555555555,0.650793650793651,0.666666666666667,0,0,1,1,"Rural","Meditech",1,1.9884837
"6120030",2025,66.6666666666667,1,0.5,0.5,32.9100529100529,0.733333333333333,0.253968253968254,0,0,1,0,0,"Micro","Cerner",NA,1.861112
"6120080",2025,93.75,1,1,0.8125,38.6243386243386,0.444444444444444,0.714285714285714,0,0,1,0,0,"Metro","Epic",1,1.7829912
"6120090",2025,83.3333333333333,0.875,1,0.625,36.031746031746,0.588888888888889,0.492063492063492,0,0,0,1,0,"Metro","Meditech",1,2.3652003
"6120170",2025,83.3333333333333,1,1,0.5,41.8518518518518,0.366666666666667,0.555555555555556,0.333333333333333,1,0,0,0,"Micro","Epic",1,1.476721
"6120210",2025,87.5,1,0.75,0.875,62.4338624338624,0.555555555555555,0.650793650793651,0.666666666666667,0,0,1,1,"Rural","Meditech",1,1.8494166
"6120220",2025,0,0,0,0,4.44444444444444,0.133333333333333,0,0,0,0,1,1,"Micro","Epic",1,1.8494166
"6120300",2025,58.3333333333333,0.75,0.5,0.5,27.4074074074074,0.377777777777778,0.444444444444444,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6120310",2025,0,0,0,0,4.44444444444444,0.133333333333333,0,0,0,0,1,1,"Micro","Epic",1,1.8494166
"6120340",2025,60.4166666666667,0.625,1,0.1875,27.8835978835979,0.566666666666667,0.26984126984127,0,0,0,1,1,"Metro","Altera Digital Health",NA,2.5689495
"6120350",2025,50,0.625,0.25,0.625,30,0.677777777777778,0.222222222222222,0,0,0,1,1,"Micro","Meditech",NA,2.5293629
"6120380",2025,83.3333333333333,0.875,1,0.625,36.031746031746,0.588888888888889,0.492063492063492,0,0,0,1,0,"Metro","Meditech",1,2.3652003
"6120410",2025,16.6666666666667,0.5,0,0,20.1058201058201,0.5,0.103174603174603,0,0,0,1,1,"Rural","Meditech",NA,2.7797508
"6130001",2025,91.6666666666667,1,0.75,1,42.8571428571429,0.444444444444444,0.841269841269841,0,1,0,0,0,"Metro","Epic",1,1.4890608
"6130015",2025,91.6666666666667,1,0.75,1,42.8571428571429,0.444444444444444,0.841269841269841,0,0,1,0,0,"Micro","Epic",1,1.6558578
"6130040",2025,45.8333333333333,0.625,0.5,0.25,51.2169312169312,0.822222222222222,0.0476190476190476,0.666666666666667,0,0,1,0,"Micro","Meditech",1,1.8494166
"6130120",2025,91.6666666666667,1,0.75,1,42.8571428571429,0.444444444444444,0.841269841269841,0,0,0,1,1,"Rural","Epic",1,1.8494166
"6130150",2025,66.6666666666667,1,1,0,65.2910052910053,0.966666666666667,0.658730158730159,0.333333333333333,0,0,1,1,"Rural","Cerner",NA,2.7797508
"6130210",2025,62.5,1,0.5,0.375,31.6931216931217,0.355555555555556,0.595238095238095,0,0,1,0,0,"Micro","Cerner",NA,2.1808629
"6130212",2025,54.1666666666667,0.875,0.25,0.5,29.3650793650794,0.444444444444444,0.436507936507936,0,0,0,1,0,"Metro","Meditech",1,1.8714032
"6130225",2025,83.3333333333333,1,0.75,0.75,34.4444444444444,0.533333333333333,0.5,0,0,0,1,1,"Rural","Meditech",NA,2.5293629
"6130255",2025,33.3333333333333,0.625,0.25,0.125,40.3703703703704,0.766666666666667,0.111111111111111,0.333333333333333,0,0,1,1,"Micro","Cerner",NA,2.7797508
"6130290",2025,60.4166666666667,0.75,0.5,0.5625,32.8042328042328,0.611111111111111,0.373015873015873,0,0,0,1,1,"Micro","Cerner",1,1.8494166
"6140011",2025,87.5,0.875,1,0.75,31.2169312169312,0.222222222222222,0.714285714285714,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6140012",2025,91.6666666666667,1,1,0.75,68.0952380952381,0.677777777777778,0.698412698412698,0.666666666666667,0,1,0,0,"Metro","Epic",NA,2.1045341
"6140013",2025,77.0833333333333,1,0.5,0.8125,11.3756613756614,0,0.341269841269841,0,1,0,0,0,"Metro","Epic",1,1.4890608
"6140016",2025,91.6666666666667,1,1,0.75,59.3121693121693,0.755555555555556,0.690476190476191,0.333333333333333,1,0,0,0,"Metro","Epic",NA,1.9431787
"6140065",2025,31.25,0.5,0.25,0.1875,28.7830687830688,0.577777777777778,0.285714285714286,0,0,0,1,1,"Metro","Meditech",1,2.01407
"6140080",2025,64.5833333333333,1,0.5,0.4375,24.8677248677249,0.444444444444444,0.301587301587302,0,0,1,0,0,"Metro","Cerner",NA,2.2114289
"6140215",2025,93.75,1,1,0.8125,38.6243386243386,0.444444444444444,0.714285714285714,0,1,0,0,0,"Metro","Epic",1,1.4890608
"6140270",2025,83.3333333333333,1,1,0.5,29.047619047619,0.466666666666667,0.404761904761905,0,1,0,0,0,"Metro","Epic",NA,1.880547
"6140310",2025,93.75,1,1,0.8125,38.6243386243386,0.444444444444444,0.714285714285714,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6140428",2025,87.5,0.875,1,0.75,37.5661375661376,0.222222222222222,0.904761904761905,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6140465",2025,100,1,1,1,42.7513227513227,0.488888888888889,0.46031746031746,0.333333333333333,0,1,0,0,"Metro","Epic",1,1.4580649
