year,topPercBin,char,char_value,core,pathfinder,friction
2023,10,size,small,10,15,20
2023,20,size,small,11,17,23
2023,30,size,small,12,19,26
2023,40,size,small,13,21,29
2023,50,size,small,14,23,32
2023,60,size,small,15,25,35
2023,70,size,small,16,27,38
2023,80,size,small,17,29,41
2023,90,size,small,18,31,44
2023,100,size,small,19,33,47
2023,Mean,size,small,11,17,23
2023,10,size,medium,20,35,50
2023,20,size,medium,21,37,53
2023,30,size,medium,10,15,20
2023,40,size,medium,11,17,23
2023,50,size,medium,12,19,26
2023,60,size,medium,13,21,29
2023,70,size,medium,10,15,20
2023,80,size,medium,11,17,23
2023,90,size,medium,12,19,26
2023,100,size,medium,13,21,29
2023,Mean,size,medium,11,17,23
2023,10,size,large,14,23,32
2023,20,size,large,15,25,35
2023,30,size,large,16,27,38
2023,40,size,large,17,29,41
2023,50,size,large,18,31,44
2023,60,size,large,19,33,47
2023,70,size,large,20,35,50
2023,80,size,large,21,37,53
2023,90,size,large,10,15,20
2023,100,size,large,11,17,23
2023,Mean,size,large,11,17,23
